citing_id,cited_id,citing_title,cited_title
li2025crossborder,chen2022a,Cross-Border E-Commerce Product Recommendation and Advanced Manufacturing Production Decisions Based on Deep Learning,A study of cross-border E-commerce research trends: Based on knowledge mapping and literature analysis
hu2025llmcdsim,han2023research,LLM-CDSim: A Simulation-Based Framework for Language-Model-Assisted Customs Declaration,Research on intelligent customs declaration generation in Guangdong-Hong Kong cross-border road cargo clearance
hu2025llmcdsim,hu2025iccarag,LLM-CDSim: A Simulation-Based Framework for Language-Model-Assisted Customs Declaration,ICCA-RAG: Intelligent Customs Clearance Assistant Using Retrieval-Augmented Generation (RAG)
chang2025crossborder,wang2024a,Cross-Border E-Commerce Supply Chain Risk Big Data Real-Time Analysis Platform Based on Hadoop HDFS and Spark Streaming,A IoT-Based Framework for Cross-Border E-Commerce Supply Chain Using Machine Learning and Optimization
yu2025achieving,deng2021an,Achieving credit risk prediction framework for Chinese CBECEs: a hybrid CNN-BiLSTM-AM approach,An early risk warning of cross-border E-commerce using BP neural network
yin2025semanticknowledge,rukanova2021identifying,Semantic-Knowledge Infused Rule Representation Learning for Enhanced Customs Risk Rule Generation,Identifying the value of data analytics in the context of government supervision: Insights from the customs domain
yin2025semanticknowledge,garca2021a,Semantic-Knowledge Infused Rule Representation Learning for Enhanced Customs Risk Rule Generation,A multi-objective bayesian approach with dynamic optimization (Mobado). a hybrid of decision theory and machine learning applied to customs fraud control in Spain
yin2025semanticknowledge,hofman2021using,Semantic-Knowledge Infused Rule Representation Learning for Enhanced Customs Risk Rule Generation,Using Business Data in Customs Risk Management: Data Quality and Data Value Perspective
yin2025semanticknowledge,han2023dynamic,Semantic-Knowledge Infused Rule Representation Learning for Enhanced Customs Risk Rule Generation,Dynamic Weights Based Risk Rule Generation Algorithm for Incremental Data of Customs Declarations
wu2025management,guo2022crossborder,Management of cross-border e-commerce data visualization platform based on deep learning,Cross-border e-commerce platform for commodity automatic pricing model based on deep learning
wu2025management,li2022hybrid,Management of cross-border e-commerce data visualization platform based on deep learning,Hybrid recommendation algorithm of cross-border e-commerce items based on artificial intelligence and multiview collaborative fusion
wu2025management,tang2023dataintensive,Management of cross-border e-commerce data visualization platform based on deep learning,Data-Intensive Inventory Forecasting with Artificial Intelligence Models for Cross-Border E-Commerce Service Automation
wu2025management,liu2023improved,Management of cross-border e-commerce data visualization platform based on deep learning,Improved PSS timing synchronization algorithm and IoT application in cross-border e-commerce risk identification
wu2025management,feng2023green,Management of cross-border e-commerce data visualization platform based on deep learning,Green Progress of Cross-border E-Commerce Industry Utilizing Random Forest Algorithm and Panel Tobit Model
wu2025management,ye2024ecommerce,Management of cross-border e-commerce data visualization platform based on deep learning,E-Commerce Logistics and Supply Chain Network Optimization for Cross-Border
wu2025management,xie2024predicting,Management of cross-border e-commerce data visualization platform based on deep learning,Predicting sales and cross-border e-commerce supply chain management using artificial neural networks and the Capuchin search algorithm
wu2025management,gong2024optimization,Management of cross-border e-commerce data visualization platform based on deep learning,Optimization of cross-border E-commerce (CBEC) supply chain management based on fuzzy logic and auction theory
wu2025management,yang2024the,Management of cross-border e-commerce data visualization platform based on deep learning,The improved BP neural network supply chain performance evaluation model under the cross-border e-commerce marketing chain
sasana2025towards,du2021hscodenet,Towards Better HS Code Prediction: A Comparative Study of Machine Learning and NLP Approaches,HScodeNet: Combining Hierarchical Sequential and Global Spatial Information of Text for Commodity HS Code Classification
sasana2025towards,binh2021attentive,Towards Better HS Code Prediction: A Comparative Study of Machine Learning and NLP Approaches,Attentive RNN for HS Code Hierarchy Classification on Vietnamese Goods Declaration
sasana2025towards,he2021a,Towards Better HS Code Prediction: A Comparative Study of Machine Learning and NLP Approaches,A commodity classification framework based on machine learning for analysis of trade declaration
sasana2025towards,chen2021the,Towards Better HS Code Prediction: A Comparative Study of Machine Learning and NLP Approaches,The use of machine learning to identify the correctness of HS Code for the customs import declarations
